zone,raw_text,severity_score,affected_count,issue_type,lat,lng,source,status,urgency_label
Dharavi,Severe food shortage in Dharavi slum area affecting over 200 families. Multiple families have reported not eating for over 24 hours. Children and elderly most affected.,9,200,food,19.0441,72.8557,csv,open,critical
Dharavi,Water supply contaminated in Dharavi sector 5. Residents complaining of stomach illness. Tap water has foul smell and discoloration.,8,150,water,19.0438,72.8560,csv,open,critical
Kurla,Healthcare facility in Kurla West severely understaffed. Patients waiting over 6 hours for basic treatment. No medicines available for common ailments.,7,80,health,19.0724,72.8787,csv,open,high
Govandi,Multiple families in Govandi area living in structurally damaged housing. Monsoon approaching and roofs are leaking badly. Risk of collapse.,8,60,housing,19.0537,72.9148,csv,open,critical
Malad,School in Malad East closed due to structural issues. 120 students have no alternative. Parents requesting temporary education facility.,6,120,education,19.1860,72.8485,csv,open,high
Bandra East,Safety concern in Bandra East - broken street lights creating dangerous conditions at night. Multiple theft incidents reported in the area.,5,300,safety,19.0596,72.8413,csv,open,medium
Dharavi,Medical camp urgently needed in Dharavi - increasing cases of dengue fever reported. 3 children hospitalized this week. Stagnant water everywhere.,9,175,health,19.0430,72.8550,csv,open,critical
Andheri East,Food distribution needed in Andheri East slum pockets. Daily wage workers lost income due to construction site closure. 50 families affected.,7,50,food,19.1197,72.8464,csv,open,high
Kurla,Clean drinking water crisis in Kurla East. Municipal water tanker has not come in 5 days. People buying expensive bottled water they cannot afford.,8,200,water,19.0740,72.8800,csv,open,critical
Mankhurd,Children in Mankhurd not attending school due to lack of transportation. Nearest school is 4km away. Parents cannot afford auto fare.,5,45,education,19.0635,72.9277,csv,open,medium
Dharavi,Housing repair needed after fire in Dharavi 13th compound. 8 families displaced. Currently sleeping on streets. No temporary shelter provided.,9,40,housing,19.0445,72.8540,csv,open,critical
Govandi,Mental health support needed in Govandi. Drug abuse among youth increasing. Families requesting counseling services and rehabilitation support.,6,30,health,19.0550,72.9160,csv,open,medium
Malad West,Food insecurity in Malad West fishing community. Fishing ban period started - no income for 2 months. 70 families need food support.,7,70,food,19.1875,72.8357,csv,open,high
Bandra East,Waterlogging in Bandra East causing health hazards. Mosquito breeding increasing. Children getting skin infections from contaminated water.,6,100,water,19.0590,72.8425,csv,open,medium
Chembur,Elderly residents in Chembur Old Age Home running out of medications. Diabetes and BP medicines finished. No budget for new supply.,8,25,health,19.0620,72.8978,csv,open,high
Dharavi,Educational materials needed for community learning center in Dharavi. 60 students have no textbooks for current semester.,4,60,education,19.0435,72.8545,csv,open,low
Kurla West,Street children in Kurla West need shelter and food. At least 15 children sleeping under bridge near railway station.,9,15,safety,19.0730,72.8770,csv,open,critical
Govandi,Garbage collection stopped in Govandi for 10 days. Waste piling up near residential areas. Strong smell and rats visible everywhere.,7,500,safety,19.0545,72.9155,csv,open,high
Andheri West,Community health clinic in Andheri West needs volunteer doctors. Current doctor left. 200 patients per week have no medical access.,8,200,health,19.1360,72.8264,csv,open,critical
Malad East,Flooding in low-lying areas of Malad East. 30 homes waterlogged. Families need temporary relocation and cleaning supplies.,7,30,housing,19.1870,72.8490,csv,open,high
Sion,Food bank storage in Sion running low. Only 3 days of supply remaining. Serves 100 families daily in surrounding slum areas.,8,100,food,19.0404,72.8620,csv,open,critical
Dharavi,Tailoring skills training requested by women's self-help group in Dharavi. 25 women want to learn for livelihood. Need volunteer trainers.,3,25,education,19.0442,72.8555,csv,open,low
Vikhroli,Water pipeline burst in Vikhroli East. Entire neighborhood without water for 3 days. BMC not responding to complaints.,8,350,water,19.0980,72.9167,csv,open,critical
Bhandup,Senior citizens in Bhandup need regular health checkups. Many have untreated chronic conditions. Requesting volunteer medical professionals.,6,40,health,19.1487,72.9357,csv,open,medium
Mulund,Fire safety concern in Mulund slum area. Closely packed hutments with exposed electrical wiring. Previous fire incidents in area.,7,200,safety,19.1724,72.9566,csv,open,high
Kurla,Nutrition program needed for pregnant women in Kurla. Many showing signs of anemia and malnutrition. 20 women in critical need.,8,20,food,19.0735,72.8795,csv,open,critical
Dharavi,Drainage blocked in Dharavi sector 7. Sewage flooding into homes. Children playing near contaminated water. Disease outbreak risk high.,8,150,water,19.0448,72.8548,csv,open,critical
Govandi,After-school tutoring needed in Govandi. Students falling behind due to lack of study support at home. 35 students requesting help.,4,35,education,19.0540,72.9145,csv,open,low
Andheri East,Domestic violence cases increasing in Andheri East community. Women requesting safe space and legal aid support from volunteers.,7,15,safety,19.1200,72.8470,csv,open,high
Chembur,Roof repair needed for community hall in Chembur used as shelter during monsoon. Currently leaking badly. 50 families depend on it.,6,50,housing,19.0615,72.8985,csv,open,medium
Dharavi,Vaccination drive needed in Dharavi. Many children under 5 not vaccinated. Parents unaware of importance. Need Hindi-speaking health volunteers.,8,100,health,19.0433,72.8553,csv,open,critical
Santacruz,Free meal distribution needed near Santacruz station. Migrant workers arriving daily with no food or shelter arrangements.,7,80,food,19.0834,72.8414,csv,open,high
Borivali,Water scarcity in Borivali East tribal settlement. Nearest water source 2km away. Women carrying water on head daily.,7,60,water,19.2299,72.8565,csv,open,high
Dadar,Health awareness camp needed in Dadar slum area. TB cases suspected but not tested. Community distrusts hospitals.,7,40,health,19.0197,72.8434,csv,open,high
Worli,Unsafe building in Worli koliwada. Cracks appearing in multiple walls. 12 families at risk. Need structural assessment volunteers.,8,60,housing,19.0088,72.8170,csv,open,critical
Dharavi,Computer literacy classes requested by youth in Dharavi. Want to learn basic Excel and online job applications. 40 students interested.,3,40,education,19.0440,72.8558,csv,open,low
Jogeshwari,Women's safety patrol needed in Jogeshwari East. Multiple eve-teasing incidents near public toilet. Women afraid to go after dark.,7,100,safety,19.1371,72.8570,csv,open,high
Powai,Food distribution to elderly living alone in Powai area. 15 senior citizens identified who cook for themselves with difficulty.,6,15,food,19.1188,72.9053,csv,open,medium
Ghatkopar,Contaminated bore well in Ghatkopar West. Residents using it anyway due to no alternative. Lab test showed unsafe bacteria levels.,8,80,water,19.0860,72.9081,csv,open,critical
Thane,Mental health counseling needed for flood victims in Thane. Post-traumatic stress reported. Children having nightmares and anxiety.,7,30,health,19.2183,72.9781,csv,open,high
Dharavi,Temporary shelters needed for evicted families in Dharavi. 10 families including children and elderly displaced by demolition drive.,9,50,housing,19.0437,72.8543,csv,open,critical
Colaba,English speaking classes for migrants in Colaba. Want to access better job opportunities. 20 adults requesting volunteer teachers.,3,20,education,18.9067,72.8147,csv,open,low
Juhu,Street children at Juhu beach need food and basic education. Approximately 25 children identified living without adult supervision.,8,25,safety,19.0983,72.8264,csv,open,critical
Kandivali,Community kitchen in Kandivali West running out of funds. Feeds 150 people daily. Need food donations and cooking volunteers.,7,150,food,19.2045,72.8403,csv,open,high
Dharavi,Rainwater harvesting setup needed in Dharavi to supplement water supply. Community willing to participate. Need technical volunteer guidance.,4,300,water,19.0443,72.8552,csv,open,low
Wadala,Free eye checkup camp needed in Wadala. Many elderly residents with untreated cataracts. 30 people identified needing immediate attention.,7,30,health,19.0169,72.8549,csv,open,high
Mahim,Housing repair for 5 families in Mahim affected by recent building crack. Families afraid to stay but have nowhere else to go.,8,25,housing,19.0372,72.8408,csv,open,critical
Versova,After-school STEM program requested for fishing community children in Versova. Students interested in science but no exposure to labs.,4,30,education,19.1250,72.8117,csv,open,low
Dharavi,Child labor instances reported in Dharavi leather workshop area. 8 children aged 10-14 found working. Need social worker intervention.,9,8,safety,19.0446,72.8541,csv,open,critical
Kurla East,Emergency food supply needed for families affected by factory closure in Kurla East. 90 workers lost jobs suddenly. No savings.,8,90,food,19.0745,72.8810,csv,open,critical
